2019-10-24, 20:29:35.263479, dax@gmail.com, Buy 4 lambrusco 2007
2019-10-24, 20:34:12.730371700, dax@gmail.com, Logged 
2019-10-24, 20:42:07.914065200, dax@gmail.com, Logged
2019-10-24, 20:42:26.183464500, dax@gmail.com, Buy 3 lambrusco 2007
2019-10-24, 20:42:27.050592, dax@gmail.com, Search wine
2019-10-24, 20:42:30.297859400, dax@gmail.com, Exit
2019-10-24, 20:43:32.706473400, dax@gmail.com, Logged
2019-10-24, 20:43:39.112564200, dax@gmail.com, Search wine
2019-10-24, 20:43:41.683841900, dax@gmail.com, Buy 3 lambrusco 2007
2019-10-25, 15:09:15.386272200, dax@gmail.com, Logged
2019-10-25, 15:09:23.823350300, dax@gmail.com, Search wine
2019-10-25, 15:09:27.199592600, dax@gmail.com, Buy 3 lambrusco 2007
2019-10-25, 15:09:35.518384200, dax@gmail.com, Logout
2019-10-25, 15:11:39.757003700, mattia@gmail.com, Logged
2019-10-25, 15:12:29.608167600, mattia@gmail.com, Logged
2019-10-25, 15:15:26.123379, dax@gmail.com, Login Failed
2019-10-25, 15:15:33.759547400, dax@gmail.com, Logged
2019-10-25, 15:15:42.843525400, dax@gmail.com, Search wine
2019-10-25, 15:15:46.925102500, dax@gmail.com, Buy 1 lambrusco 2007
2019-10-25, 15:15:54.561631200, dax@gmail.com, Logout
2019-10-25, 15:16:03.830264, mattia@gmail.com, Logged
2019-10-25, 15:16:35.271978400, mattia@gmail.com, Add wine
2019-10-25, 15:16:39.248943900, mattia@gmail.com, Process orders
2019-10-25, 15:21:41.410269400, mattia@gmail.com, Logged
2019-10-25, 15:21:43.968290300, mattia@gmail.com, Process orders
2019-10-27, 15:07:21.842006700, dax@gmail.com, Login Failed
2019-10-27, 15:07:37.225949, dax@gmail.com, Logged
2019-10-27, 15:29:23.294731200, fse, Login Failed
2019-10-27, 15:31:25.026242800, dax@gmail.com, Logged
2019-10-27, 15:36:17.628207100, dax@gmail.xom, Login Failed
2019-10-27, 15:36:34.943453300, dax@gmail.xom, Login Failed
2019-10-27, 15:36:42.674165900, dax@gmail.com, Logged
2019-10-27, 15:39:01.167585700, dax@gmail.com, Logged
2019-10-27, 15:39:08.563296200, dax@gmail.com, Search wine
2019-10-27, 15:41:41.109547700, dax@gmail.com, Logged
2019-10-27, 15:42:57.793609400, dax@gmail.com, Logged
2019-10-27, 15:43:09.566564500, dax@gmail.com, Search wine
2019-10-27, 15:43:14.411789700, dax@gmail.com, Search wine
2019-10-27, 15:43:15.279850500, dax@gmail.com, Search wine
2019-10-27, 15:43:15.595348800, dax@gmail.com, Search wine
2019-10-27, 15:43:16.192758600, dax@gmail.com, Search wine
2019-10-27, 15:43:18.755330800, dax@gmail.com, Search wine
2019-10-27, 15:43:49.557262900, dax@gmail.com, Search wine
2019-10-27, 15:47:41.102410, dax@gmail.com, Logged
2019-10-27, 15:49:28.275701800, dax@gmai.com, Login Failed
2019-10-27, 15:49:37.490187900, dax@gmail.com, Logged
2019-10-27, 15:52:40.886861, fe, Registered
2019-10-27, 16:00:21.803002700, dax@gmail.com, Login Failed
2019-10-27, 16:00:29.457798, dax@gmail.com, Logged
2019-10-27, 16:04:16.958973300, dax@gmail.com, Logged
2019-10-27, 16:07:39.915199800, dax@gmail.com, Login Failed
2019-10-27, 16:07:49.608460600, dax@gmail.com, Logged
2019-10-27, 16:08:33.490838600, dax@gmail.com, Logged
2019-10-27, 16:09:39.097251200, dax@gmail.com, Logged
2019-10-27, 16:10:59.902866900, dax@gmail,.com, Login Failed
2019-10-27, 16:11:05.311413900, dax@gmail.com, Logged
2019-10-27, 16:11:50.228908800, dax@gmail.com, Logged
2019-10-29, 11:08:51.045262200, dax@gmail.com, Logged
2019-10-29, 11:09:01.485763200, dax@gmail.com, Search wine
2019-10-29, 11:16:16.841419800, dax@gmail.com, Logged
2019-10-29, 11:16:24.145606500, dax@gmail.com, Search wine
2019-10-29, 11:17:21.852027600, dax@gmacil.com, Login Failed
2019-10-29, 11:17:29.877046200, dax@gmail.com, Logged
2019-10-29, 11:18:17.784411600, dax@gmail.com, Search wine
2019-10-29, 11:18:29.120460900, dax@gmail.com, Search wine
2019-10-29, 11:48:20.075760400, dax@gmail.com, Logged
2019-10-29, 11:48:30.993764300, dax@gmail.com, Search wine
2019-10-29, 11:50:07.075293800, dax@gmail.com, Logged
2019-10-29, 11:50:13.085955400, dax@gmail.com, Search wine
2019-10-29, 11:50:22.345191800, dax@gmail.com, Exit
2019-10-29, 11:51:40.416902700, dax@gmail.com, Logged
2019-10-29, 11:53:48.321977700, dax@gmail.com, Logged
2019-10-29, 11:56:05.512488100, dax@gmail.com, Logged
2019-10-29, 11:59:07.320769, dax@gmail.com, Logged
2019-10-29, 12:00:20.540064100, dax@gmail.com, Logged
